Title,Artist,ConstituentID,ArtistBio,Nationality,BeginDate,EndDate,Gender,Date,Medium,Dimensions,CreditLine,AccessionNumber,Classification,Department,DateAcquired,Cataloged,ObjectID,URL,ThumbnailURL,Circumference (cm),Depth (cm),Diameter (cm),Height (cm),Length (cm),Weight (kg),Width (cm),Seat Height (cm),Duration (sec.)
CIRCUS ARENA WITH HORSES,Kristians Tonny,5898,"(Dutch, 1907ду_977)",(Dutch),-1907,-1977,(Male),1930,"Etching and drypoint, printed in dark brown","Plate 7 1/4 x 5 1/2""",Gift of Henry Russel Hitchcock,4.1931,Print,Drawings & Prints,1/15/31,N,59623,,,,,,18.4,,,14,,
Portrait of Mr. Loeb (Bildnis Herr Loeb),Max Beckmann,429,"(German, 1884ду_950)",(German),-1884,-1950,(Male),-1922,Drypoint,"plate: 4 5/8 x 3 1/2"" (11.7 x 8.9 cm); sheet: 11 15/16 x 9"" (30.3 x 22.9 cm)",Gift of J. B. Neumann,10.1932,Print,Drawings & Prints,5/3/32,Y,59794,http://www.moma.org/collection/works/59794,http://www.moma.org/media/W1siZiIsIjExMjg1OSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=f185ee39aaf85ae0,,,,11.7,,,8.9,,
"Naila in Profile (Portrait of ""Frau H.M."") (Naila im Profil [Bildnis Frau H.M.])",Max Beckmann,429,"(German, 1884ду_950)",(German),-1884,-1950,(Male),"(1923, published probably 1923)",Drypoint,"plate: 9 9/16 x 8"" (24.3 x 20.3 cm); sheet: 14 7/8 x 10 9/16"" (37.8 x 26.8 cm)",Gift of J. B. Neumann,11.1932,Print,Drawings & Prints,5/3/32,Y,59829,http://www.moma.org/collection/works/59829,http://www.moma.org/media/W1siZiIsIjExNDY5MyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=d068d89ab18a723a,,,,24.3,,,20.3,,
Sarika,Max Beckmann,429,"(German, 1884ду_950)",(German),-1884,-1950,(Male),-1922,Drypoint,"plate: 12 x 8 9/16"" (30.5 x 21.8 cm); sheet: 18 3/4 x 13 1/4"" (47.6 x 33.7 cm)",Gift of J. B. Neumann,12.1932,Print,Drawings & Prints,5/3/32,Y,59869,http://www.moma.org/collection/works/59869,http://www.moma.org/media/W1siZiIsIjExNTU0NSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=dfe70d064b462775,,,,30.5,,,21.8,,
Behind the Scenes (Hinter den Kulissen) for the portfolio Annual Fair (Jahrmarkt),Max Beckmann,429,"(German, 1884ду_950)",(German),-1884,-1950,(Male),-1921,Drypoint,"plate: 8 1/4 x 12 1/16"" (21 x 30.7 cm); sheet (irreg.): 13 3/4 x 17 1/2"" (34.9 x 44.5 cm)",Gift of J. B. Neumann,13.1932,Print,Drawings & Prints,5/3/32,Y,59907,http://www.moma.org/collection/works/59907,http://www.moma.org/media/W1siZiIsIjExNTU0NiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=fe7b93094f1de86a,,,,21,,,30.7,,
The Fur Cap (Die Pelzm_tze),Max Beckmann,429,"(German, 1884ду_950)",(German),-1884,-1950,(Male),-1923,Drypoint,"plate: 13 1/16 x 8 5/8"" (33.1 x 21.9 cm); sheet: 19 1/8 x 13 11/16"" (48.5 x 34.8 cm)",Gift of J. B. Neumann,14.1932,Print,Drawings & Prints,5/3/32,Y,59937,http://www.moma.org/collection/works/59937,http://www.moma.org/media/W1siZiIsIjExMjg2MCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=802c7649b0470340,,,,33.1,,,21.9,,
Shooting Gallery (Schiessbude) for the portfolio Annual Fair (Jahrmarkt),Max Beckmann,429,"(German, 1884ду_950)",(German),-1884,-1950,(Male),-1921,Drypoint,"plate: 12 1/4 x 9 11/16"" (31.1 x 24.6 cm); sheet: 19 15/16 x 12 3/4"" (50.7 x 32.4 cm)",Gift of J. B. Neumann,15.1932,Print,Drawings & Prints,5/3/32,Y,59966,http://www.moma.org/collection/works/59966,http://www.moma.org/media/W1siZiIsIjExNTU0NyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=b97473352fc9f99f,,,,31.1,,,24.6,,
Still Life,Vaclav Vytlacil,6198,"(American, 1892ду_984)",(American),-1892,-1984,(Male),1929,Monotype,"sheet: 13 1/4 x 19 1/2"" (33.7 x 49.5cm)",Gift of Mrs. Saidie A. May,46.1932,Print,Drawings & Prints,12/16/32,N,60840,,,,,,33.7,,,49.5,,
Death of an Indian Chief (Muerte de Willka),Alejandro Mario Yllanes,6501,"(Bolivian, 1913ду_960)",(Bolivian),-1913,-1960,(Male),1944,Wood engraving,"Sheet 11 x 15 3/4"" (28.0 x 40.0 cm) Comp. 10  5/8 x 15 3/8"" (27.0 x 39.1 cm)",Inter-American Fund,198.195,Print,Drawings & Prints,06/8/30,Y,64242,http://www.moma.org/collection/works/64242,http://www.moma.org/media/W1siZiIsIjIyMzE4MCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=44995b3297b68ec9,,,,27,,,39.1,,
Daylight Savings Time,Pierre Roy,5065,"(French, 1880ду_950)",(French),-1880,-1950,(Male),1929,Oil on canvas,"21 1/2 x 15"" (54.6 x 38.1 cm)",Gift of Mrs. Ray Slater Murphy,1.1931,Painting,Painting & Sculpture,1/19/31,Y,78294,http://www.moma.org/collection/works/78294,http://www.moma.org/media/W1siZiIsIjIzMzkzNyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=96820bf47e072d6c,,,,54.6,,,38.1,,
Plums on a Plate,Preston Dickinson,1537,"(American, 1889ду_930)",(American),-1889,-1930,(Male),1926,Oil on canvas,"14 x 20"" (35.6 x 50.8 cm)",Gift of Abby Aldrich Rockefeller,2.1931,Painting,Painting & Sculpture,3/11/31,Y,78309,http://www.moma.org/collection/works/78309,http://www.moma.org/media/W1siZiIsIjE2NjgyNCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=384babfc95bc9b5c,,,,35.6,,,50.8,,
House by the Railroad,Edward Hopper,2726,"(American, 1882ду_967)",(American),-1882,-1967,(Male),1925,Oil on canvas,"24 x 29"" (61 x 73.7 cm)",Given anonymously,3.193,Painting,Painting & Sculpture,01/12/30,Y,78330,http://www.moma.org/collection/works/78330,http://www.moma.org/media/W1siZiIsIjE1NjM0OCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=eed3ce98d8bae5ff,,,,61,,,73.7,,
Dr. Mayer-Hermann,Otto Dix,1559,"(German, 1891ду_969)",(German),-1891,-1969,(Male),Berlin 1926,Oil and tempera on wood,"58 3/4 x 39"" (149.2 x 99.1 cm)",Gift of Philip Johnson,3.1932,Painting,Painting & Sculpture,6/8/32,Y,78331,http://www.moma.org/collection/works/78331,http://www.moma.org/media/W1siZiIsIjE1MTMxNSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=7aac6dfb4fb66e06,,,,149.2,,,99.06019812,,
Desire,Aristide Maillol,3697,"(French, 1861ду_944)",(French),-1861,-1944,(Male),Aug-06,Tinted plaster,"46 7/8 x 45 x 4 3/4"" (119.1 x 114.3 x 12.1 cm)",Gift of the artist,7.193,Sculpture,Painting & Sculpture,4/2/30,Y,80783,http://www.moma.org/collection/works/80783,http://www.moma.org/media/W1siZiIsIjcwNDUxIl0sWyJwIiwiY29udmVydCIsIi1yZXNpemUgMzAweDMwMFx1MDAzZSJdXQ.jpg?sha=dc86ce5e90b90545,,12.1,,119.1,,,114.3,,
Summer,Aristide Maillol,3697,"(French, 1861ду_944)",(French),-1861,-1944,(Male),Nov-10,Tinted plaster,"64 x 13 1/4 x 11 3/4"" (162.5 x 33.6 x 29.8 cm) including base",Gift of the artist,9.193,Sculpture,Painting & Sculpture,4/2/30,Y,80795,http://www.moma.org/collection/works/80795,http://www.moma.org/media/W1siZiIsIjIwNzk5NSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=abe575bda045defb,,29.8,,162.6,,,33.7,,
Standing Girl,Hermann Haller,2466,"(Swiss, 1880ду_950)",(Swiss),-1880,-1950,(Male),c. 1926,Bronze,"14"" (35.6 cm) high",Gift of Mrs. Saidie A. May,13.193,Sculpture,Painting & Sculpture,10/23/30,Y,80811,http://www.moma.org/collection/works/80811,http://www.moma.org/media/W1siZiIsIjIwODAwNyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=aecb434c3a657d3c,,,,35.6,,,,,
"Villa Savoye, Poissy-sur-Seine, France","Le Corbusier (Charles-_douard Jeanneret), Pierre Jeanneret","3426, 2899","(French, born Switzerland. 1887ду_965) (Swiss, 1896ду_967)",(French) (Swiss),(1887) (1896),(1965) (1967),(Male) (Male),1932,"Wood, aluminum, and plastic","16 x 34 x 32"" (40.6 x 86.4 x 81.3 cm)",Purchase,MC 7,Architecture,Architecture & Design,1/1/32,Y,82339,http://www.moma.org/collection/works/82339,http://www.moma.org/media/W1siZiIsIjI1MTQ5MCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=b481b92e45ee8fdb,,81.2802,,40.6401,,,86.3602,,
"Tugendhat House, Brno, Czechoslovakia (Model of final version)",Ludwig Mies van der Rohe,7166,"(American, born Germany. 1886ду_969)",(American),-1886,-1969,(Male),1928-1930,"Painted wood, metal, wooden tiles, plastic fence steps and windows","13 x 44 1/2 x 36 x 10 3/4"" (33 x 113 x 91.4 x 27.3 cm) including base

8 x 44 1/2 x 36"" (20.3 x 113 x 91.4 cm)","Exhibition Fund, 1932",MC 3,Architecture,Architecture & Design,1/1/32,Y,84200,http://www.moma.org/collection/works/84200,http://www.moma.org/media/W1siZiIsIjYyODI5Il0sWyJwIiwiY29udmVydCIsIi1yZXNpemUgMzAweDMwMFx1MDAzZSJdXQ.jpg?sha=2ff4f4db0ca6fcb5,,91.4402,,33.0201,27.3051,,113.0302,,
